patient_id,region,size_bin,dice,iou
BraTS20_Training_117,ET,medium,0.026720044688574925,0.013540929464495545
BraTS20_Training_270,ET,large,0.18513653371545621,0.10201127366042287
BraTS20_Training_160,ET,large,0.14907085574475729,0.08053839133033848
BraTS20_Training_332,ET,small,0.0031949325591408687,0.0016000222611792304
BraTS20_Training_161,ET,medium,0.02864238410595878,0.014529268497521702
BraTS20_Training_168,ET,large,0.22980691318008722,0.1298202523166142
BraTS20_Training_207,ET,medium,0.053558104186815274,0.027515901862788336
BraTS20_Training_093,ET,medium,0.06829085547861193,0.03535255588155953
BraTS20_Training_075,ET,large,0.10674333918419043,0.05638080741688474
BraTS20_Training_350,ET,large,0.08070556748066422,0.04204960224613748
BraTS20_Training_029,ET,small,0.019739897816998007,0.009968335874280915
BraTS20_Training_083,ET,small,0.02220734519438039,0.011228348502772127
BraTS20_Training_119,ET,small,0.011858377096390996,0.0059645535105654415
BraTS20_Training_348,ET,large,0.07579779848715133,0.039391805303807204
BraTS20_Training_055,ET,small,0.018400988598474274,0.009285929440114025
BraTS20_Training_225,ET,large,0.38563667921463185,0.23887849423327107
BraTS20_Training_103,ET,large,0.08035217325304493,0.04185776793715862
BraTS20_Training_243,ET,medium,0.038156431821124624,0.019449273346775642
BraTS20_Training_352,ET,medium,0.019085714813599306,0.009634800938296719
BraTS20_Training_094,ET,small,0.002817206631270833,0.001410590277777697
BraTS20_Training_254,ET,large,0.1370236750846898,0.0735509481533099
BraTS20_Training_138,ET,large,0.19843737216720544,0.11014736268475851
BraTS20_Training_027,ET,medium,0.05359097615534355,0.02753325508607006
BraTS20_Training_357,ET,medium,0.04563499914269209,0.023350294915572934
BraTS20_Training_079,ET,small,0.0042420896649908914,0.0021255532261820332
BraTS20_Training_302,ET,small,0.005403015865219018,0.002708825847123571
BraTS20_Training_196,ET,large,0.1518780847114706,0.08217968925916846
BraTS20_Training_070,ET,medium,0.03241464514277829,0.016474327308220113
BraTS20_Training_165,ET,large,0.1270520947232299,0.06783535963028033
BraTS20_Training_288,ET,medium,0.03979536529007161,0.020301638199095747
BraTS20_Training_220,ET,medium,0.04246902889979816,0.021695201520070487
BraTS20_Training_081,ET,small,0.02648172336743381,0.013418534644948837
BraTS20_Training_218,ET,large,0.19010437415344128,0.10503609790455294
BraTS20_Training_211,ET,medium,0.042546341232449866,0.02173555478153074
BraTS20_Training_280,ET,small,0.0018000032727331248,0.0009008123689726971
BraTS20_Training_037,ET,medium,0.04497856666959704,0.023006687242796874
BraTS20_Training_234,ET,medium,0.04725669441464964,0.02420015691744188
BraTS20_Training_106,ET,large,0.10200319018912735,0.053742550915715996
BraTS20_Training_368,ET,medium,0.04077603007039183,0.020812337280590155
BraTS20_Training_059,ET,small,0.004145622281259732,0.002077116611081704
BraTS20_Training_177,ET,small,0.0018708132164983128,0.0009362824130054692
BraTS20_Training_014,ET,medium,0.05147041113706667,0.02641500105066523
BraTS20_Training_191,ET,large,0.25575079266827583,0.14662514484355832
BraTS20_Training_066,ET,small,0.02564522790295027,0.012989169051776514
BraTS20_Training_256,ET,large,0.2355636790913091,0.1335064781312102
BraTS20_Training_315,ET,small,0.00035140227684438624,0.00017573201473723967
BraTS20_Training_217,ET,small,0.025419324947876267,0.012873277485714919
BraTS20_Training_069,ET,medium,0.04944290166416242,0.025348092453353843
BraTS20_Training_023,ET,medium,0.02906857727737808,0.01474864977149894
BraTS20_Training_084,ET,medium,0.04231064568828019,0.021612543172435893
BraTS20_Training_197,ET,large,0.27895796935331796,0.16208666864951543
BraTS20_Training_232,ET,medium,0.018225220550077085,0.009196413608177929
BraTS20_Training_108,ET,small,0.01951638517393856,0.009854353263938824
BraTS20_Training_252,ET,large,0.16908240174421496,0.09234844970920074
BraTS20_Training_202,ET,large,0.06854778685200327,0.0354902836246101
BraTS20_Training_258,ET,large,0.0788189439528354,0.04102629666513868
BraTS20_Training_327,ET,medium,0.03496726372055169,0.017794748695514343
BraTS20_Training_195,ET,medium,0.036841885959096,0.01876664222590905
BraTS20_Training_338,ET,large,0.16472283514205993,0.08975365590341793
BraTS20_Training_102,ET,small,0.016903342056715485,0.008523710626513954
BraTS20_Training_003,ET,small,0.010438073835326045,0.005246418167766092
BraTS20_Training_298,ET,small,0.00020544929804822162,0.00010273520246172611
BraTS20_Training_346,ET,large,0.049708737864075814,0.025487853444841713
BraTS20_Training_061,ET,small,0.020178329525464174,0.010191993464051592
BraTS20_Training_221,ET,large,0.2110377043710236,0.11796654680015234
BraTS20_Training_295,ET,small,0.0017374605642173243,0.0008694856306058278
BraTS20_Training_039,ET,medium,0.03925613091469009,0.020021039735803502
BraTS20_Training_117,TC,small,0.028202159761627783,0.014302764302763614
BraTS20_Training_270,TC,large,0.17866495492475082,0.09809560048155183
BraTS20_Training_160,TC,large,0.2670008826125142,0.154068677781568
BraTS20_Training_297,TC,medium,0.05203479906813974,0.02671238636257338
BraTS20_Training_332,TC,small,0.0032711732937460375,0.0016382661731498464
BraTS20_Training_263,TC,small,0.008854648264224371,0.004447012497859765
BraTS20_Training_161,TC,medium,0.038412313566801755,0.019582256675279085
BraTS20_Training_168,TC,large,0.2195789444338508,0.12332978412459165
BraTS20_Training_207,TC,medium,0.051300404660713284,0.026325455592749486
BraTS20_Training_264,TC,small,0.03231857824584366,0.016424700608817136
BraTS20_Training_093,TC,medium,0.07165388060282372,0.037158205097134515
BraTS20_Training_075,TC,large,0.27908320691824406,0.16217123805182462
BraTS20_Training_350,TC,medium,0.09172699234542676,0.04806806572093523
BraTS20_Training_029,TC,small,0.022075513301078997,0.011160948483893927
BraTS20_Training_083,TC,small,0.029882512675296475,0.015167883574230418
BraTS20_Training_119,TC,small,0.01710956373454516,0.008628597637885151
BraTS20_Training_348,TC,large,0.09094518562514434,0.04763885507128589
BraTS20_Training_055,TC,small,0.02854405659682017,0.014478668261562397
BraTS20_Training_225,TC,large,0.3630643652750379,0.2217951381674454
BraTS20_Training_103,TC,large,0.09506213237347681,0.04990300943091674
BraTS20_Training_243,TC,medium,0.044670261076248836,0.02284538519873183
BraTS20_Training_352,TC,small,0.01758257837172084,0.008869261427938424
BraTS20_Training_094,TC,small,0.002873876462951626,0.0014390059942042078
BraTS20_Training_254,TC,large,0.13216925343359895,0.07076082973607928
BraTS20_Training_138,TC,large,0.2781668391371439,0.16155272500254736
