patient_id,region,size_bin,dice,iou
BraTS20_Training_027,TC,medium,0.07070066337449116,0.036645771878070506
BraTS20_Training_357,TC,medium,0.06884103297292056,0.03564752262673529
BraTS20_Training_079,TC,small,0.008584613130844125,0.004310809882985086
BraTS20_Training_302,TC,large,0.18606252473287746,0.10257383579634005
BraTS20_Training_196,TC,medium,0.14941373059928703,0.08073859245031177
BraTS20_Training_070,TC,medium,0.08378905022313973,0.04372642283089805
BraTS20_Training_165,TC,medium,0.12069863763056339,0.06422527011760673
BraTS20_Training_288,TC,medium,0.0653670287679846,0.03378781905404904
BraTS20_Training_220,TC,medium,0.054111154774126105,0.027807937183505986
BraTS20_Training_081,TC,small,0.047232023086198595,0.024187217142327962
BraTS20_Training_218,TC,large,0.18521420228693034,0.10205843715568574
BraTS20_Training_211,TC,medium,0.05366213887707634,0.027570824135392615
BraTS20_Training_280,TC,small,0.0018095537049688032,0.0009055962149774106
BraTS20_Training_037,TC,medium,0.0663365326866598,0.034306141584620586
BraTS20_Training_234,TC,large,0.30618572745445966,0.18076700168213244
BraTS20_Training_106,TC,large,0.11894655604861527,0.06323401200061246
BraTS20_Training_368,TC,small,0.03726756635841855,0.01898759388679061
BraTS20_Training_059,TC,small,0.005864658809284709,0.0029409532483301113
BraTS20_Training_177,TC,small,0.002020862432761671,0.001011453220288524
BraTS20_Training_014,TC,medium,0.06791259741017214,0.03514985777514002
BraTS20_Training_191,TC,large,0.2476937507086113,0.14135300311162827
BraTS20_Training_066,TC,small,0.041788240819558994,0.021340000959369373
BraTS20_Training_256,TC,large,0.309294746038456,0.18293830063740435
BraTS20_Training_315,TC,medium,0.04854115654820254,0.024874291718262182
BraTS20_Training_217,TC,small,0.02783458821271706,0.014113718882987535
BraTS20_Training_069,TC,medium,0.09524481361949719,0.0500037035208107
BraTS20_Training_023,TC,small,0.03871458814014706,0.019739395350641335
BraTS20_Training_084,TC,medium,0.055223276137693476,0.02839568957202481
BraTS20_Training_197,TC,large,0.27678608373260866,0.16062201048848757
BraTS20_Training_232,TC,small,0.028571950528872337,0.014493022221397983
BraTS20_Training_108,TC,small,0.01591948322163824,0.008023607452931094
BraTS20_Training_252,TC,large,0.20902991573549232,0.1167132369055366
BraTS20_Training_202,TC,medium,0.08978490594318744,0.047002510985559784
BraTS20_Training_258,TC,large,0.14824630086931337,0.08005724570114707
BraTS20_Training_304,TC,medium,0.05312268052168164,0.027286095528564838
BraTS20_Training_327,TC,large,0.24888120889389562,0.14212697057330323
BraTS20_Training_265,TC,medium,0.11085265802277307,0.05867867241458891
BraTS20_Training_195,TC,medium,0.04676296177954726,0.023941263074834924
BraTS20_Training_338,TC,large,0.17306730265835768,0.09473107734630112
BraTS20_Training_102,TC,small,0.02790280469638369,0.01414879792072717
BraTS20_Training_003,TC,small,0.011363049429264282,0.005713988883693982
BraTS20_Training_298,TC,small,0.028496140267899674,0.01445401190935122
BraTS20_Training_346,TC,large,0.1020313226856844,0.05375816993463869
BraTS20_Training_061,TC,small,0.03712872770867453,0.01891551842079431
BraTS20_Training_278,TC,large,0.149563077188789,0.08082581759208013
BraTS20_Training_221,TC,large,0.21943886676101804,0.1232414111847097
BraTS20_Training_295,TC,small,0.033175483696385254,0.016867536184028337
BraTS20_Training_039,TC,small,0.04937242678312195,0.025311047306533968
BraTS20_Training_117,WT,medium,0.11029445083876013,0.058365945365252886
BraTS20_Training_270,WT,large,0.3245307275701294,0.19369542187990987
BraTS20_Training_160,WT,large,0.3370173284213207,0.2026583524778332
BraTS20_Training_297,WT,medium,0.13994363929145973,0.07523623598058708
BraTS20_Training_332,WT,small,0.0649147928201116,0.033546219349542584
BraTS20_Training_263,WT,small,0.060277776587399336,0.03107546836337791
BraTS20_Training_161,WT,small,0.10002430094932654,0.052645042249384495
BraTS20_Training_168,WT,large,0.3331347937670109,0.19985706853877805
BraTS20_Training_207,WT,small,0.09464851967511372,0.049675097037201216
BraTS20_Training_264,WT,small,0.04668658648741275,0.023901226584758666
BraTS20_Training_093,WT,medium,0.15557835619396818,0.08435075391596822
BraTS20_Training_075,WT,large,0.38851285756212545,0.24108964156820956
BraTS20_Training_350,WT,medium,0.17208936046752005,0.09414539023173196
BraTS20_Training_029,WT,small,0.13902500192915448,0.07470546464797909
BraTS20_Training_083,WT,medium,0.15821038301629206,0.08590035558751419
BraTS20_Training_119,WT,small,0.053362704226967164,0.027412761659729837
BraTS20_Training_348,WT,medium,0.1116406709417235,0.05912045934467284
BraTS20_Training_055,WT,medium,0.19260798036973367,0.10656679805919195
BraTS20_Training_225,WT,large,0.5210247659052835,0.3522876880519258
BraTS20_Training_103,WT,small,0.09111385209416759,0.04773142295266021
BraTS20_Training_243,WT,large,0.3059132124634403,0.18057706058157805
BraTS20_Training_352,WT,small,0.08254561631599898,0.04304958543910926
BraTS20_Training_094,WT,small,0.03487041769142644,0.01774458946898644
BraTS20_Training_254,WT,large,0.23802421649625377,0.13508938018599487
BraTS20_Training_138,WT,large,0.557231175447645,0.3862234655787881
BraTS20_Training_027,WT,medium,0.15976331360945925,0.08681672025722988
BraTS20_Training_357,WT,small,0.14070998483199576,0.07567941724211394
BraTS20_Training_079,WT,small,0.012404906635605416,0.006241163845201327
BraTS20_Training_302,WT,medium,0.1806073066690284,0.09926790809430472
BraTS20_Training_196,WT,large,0.4256424216027643,0.27035943259858836
BraTS20_Training_070,WT,small,0.12043157644034276,0.06407405813525058
BraTS20_Training_165,WT,large,0.35212998361549214,0.21368796089152667
BraTS20_Training_288,WT,medium,0.10971390816797504,0.05804090113240089
BraTS20_Training_220,WT,medium,0.19383162975581367,0.10731647887821691
BraTS20_Training_081,WT,small,0.065166060487923,0.03368044107410916
BraTS20_Training_218,WT,medium,0.2252993232691209,0.12695060424732454
BraTS20_Training_211,WT,medium,0.11251296284538273,0.05960992612431171
BraTS20_Training_280,WT,small,0.06777616441416033,0.03507676655567752
BraTS20_Training_037,WT,large,0.344076160017545,0.20778501505310207
BraTS20_Training_234,WT,large,0.33990476366936223,0.20475015904549232
BraTS20_Training_106,WT,medium,0.17763646816326478,0.09747586859589284
BraTS20_Training_368,WT,medium,0.14646839035274364,0.07902125304494693
BraTS20_Training_059,WT,small,0.053591103537795524,0.02753332233283705
BraTS20_Training_177,WT,small,0.020390807127777043,0.01030042050784374
BraTS20_Training_014,WT,medium,0.17093066707984308,0.09345226230814763
BraTS20_Training_191,WT,large,0.3102313163307326,0.18359395539102857
BraTS20_Training_066,WT,small,0.13516655466553512,0.072481837455083
BraTS20_Training_256,WT,large,0.3677967804085042,0.22533761482259274
BraTS20_Training_315,WT,small,0.06367161213829975,0.03288265179472616
BraTS20_Training_217,WT,small,0.041312447997683105,0.021091903073285186
BraTS20_Training_069,WT,large,0.32789708715452337,0.19609862804229514
BraTS20_Training_023,WT,small,0.07128793486306176,0.03696141904831208
BraTS20_Training_084,WT,small,0.08854450093979332,0.04632307735300531
BraTS20_Training_197,WT,large,0.4266326864559318,0.27115898670535227
BraTS20_Training_232,WT,medium,0.1409157211782752,0.07579845775877715
BraTS20_Training_108,WT,small,0.02711157455682916,0.013742071881606317
BraTS20_Training_252,WT,large,0.3929002396892143,0.24447781612090716
BraTS20_Training_202,WT,medium,0.1510958940680178,0.08172186625755502
BraTS20_Training_258,WT,medium,0.25357214018462865,0.14519474065847518
BraTS20_Training_304,WT,small,0.052912949075846046,0.027175440898100447
BraTS20_Training_327,WT,large,0.27471456061577054,0.15922846987789957
BraTS20_Training_265,WT,small,0.1282079768914508,0.06849477682810691
BraTS20_Training_195,WT,small,0.06761740840914486,0.03499172922763607
BraTS20_Training_338,WT,large,0.295126031981116,0.17310724283277168
BraTS20_Training_102,WT,small,0.034596473090419966,0.017602732780692524
BraTS20_Training_003,WT,small,0.07710295837101651,0.04009728898729736
BraTS20_Training_298,WT,small,0.07802452888815492,0.04059600658848078
BraTS20_Training_346,WT,medium,0.10448217094538938,0.055120647953757235
BraTS20_Training_061,WT,small,0.050129217627241957,0.025708994708993346
BraTS20_Training_278,WT,medium,0.23115679905506092,0.13068247028994653
BraTS20_Training_221,WT,large,0.34249854375999605,0.2066354406330022
BraTS20_Training_295,WT,small,0.07651890482398457,0.03978146965722188
BraTS20_Training_039,WT,small,0.10861540948565705,0.057426400759731364
