patient_id,region,size_bin,dice,iou
BraTS20_Training_027,TC,medium,0.08839754260504105,0.04624263913403053
BraTS20_Training_357,TC,medium,0.08073180899344166,0.04206384984221614
BraTS20_Training_079,TC,small,0.00769829189920462,0.0038640191231594048
BraTS20_Training_302,TC,large,0.20703310302154238,0.11546956241659483
BraTS20_Training_196,TC,medium,0.1801080929318295,0.09896636840480379
BraTS20_Training_070,TC,medium,0.09038965666437031,0.0473340841391136
BraTS20_Training_165,TC,medium,0.1551115336298378,0.08407637451114938
BraTS20_Training_288,TC,medium,0.08612475847274476,0.04500019468563581
BraTS20_Training_220,TC,medium,0.060053001936423364,0.03095600137342272
BraTS20_Training_081,TC,small,0.053570174822716164,0.027522273924176492
BraTS20_Training_218,TC,large,0.24091658064638674,0.13695574524539214
BraTS20_Training_211,TC,medium,0.0808269124119411,0.042115488662630825
BraTS20_Training_280,TC,small,0.0022839197773176856,0.0011432654519470558
BraTS20_Training_037,TC,medium,0.08103337840722503,0.042227612244743445
BraTS20_Training_234,TC,large,0.3414700779979823,0.20588719773339545
BraTS20_Training_106,TC,large,0.1666095755052458,0.0908751203667708
BraTS20_Training_368,TC,small,0.047143094166039394,0.02414057785043247
BraTS20_Training_059,TC,small,0.006517587902648579,0.0032694484100270526
BraTS20_Training_177,TC,small,0.0026395466190511875,0.001321517412935259
BraTS20_Training_014,TC,medium,0.08114261526522186,0.042286944256900716
BraTS20_Training_191,TC,large,0.2835209953343525,0.16517591800639558
BraTS20_Training_066,TC,small,0.050724792079485596,0.0260223861019598
BraTS20_Training_256,TC,large,0.3629077218734799,0.22167823202293133
BraTS20_Training_315,TC,medium,0.06226683930165231,0.032133856489926456
BraTS20_Training_217,TC,small,0.0281774684143376,0.014290063108102524
BraTS20_Training_069,TC,medium,0.12353518265315416,0.06583399886379
BraTS20_Training_023,TC,small,0.04926493292079365,0.02525454827372175
BraTS20_Training_084,TC,medium,0.08059643125208425,0.041990351880329006
BraTS20_Training_197,TC,large,0.33444407080183686,0.20080026430745312
BraTS20_Training_232,TC,small,0.036386132488677024,0.018530187166987507
BraTS20_Training_108,TC,small,0.020305402003173316,0.01025683558651902
BraTS20_Training_252,TC,large,0.23336688683276335,0.13209697310291044
BraTS20_Training_202,TC,medium,0.12174487466245658,0.06481807131529997
