patient_id,region,size_bin,dice,iou
BraTS20_Training_117,ET,medium,0.027535029048477544,0.013959704965099873
BraTS20_Training_270,ET,large,0.20454183774147772,0.11392180672379622
BraTS20_Training_160,ET,large,0.16021769288227936,0.08708513624814831
BraTS20_Training_332,ET,small,0.004094573783857048,0.0020514868741148625
BraTS20_Training_161,ET,medium,0.0338252104333346,0.01720356227372313
BraTS20_Training_168,ET,large,0.23119283627829668,0.13070550652443627
BraTS20_Training_207,ET,medium,0.0652342738803998,0.03371688520203157
BraTS20_Training_093,ET,medium,0.07805146902954466,0.040610592724943516
BraTS20_Training_075,ET,large,0.12002646100228145,0.06384476085034255
BraTS20_Training_350,ET,large,0.10705957977790827,0.056557289724600716
BraTS20_Training_029,ET,small,0.02323888453354022,0.011756040905355678
BraTS20_Training_083,ET,small,0.02543235785628033,0.012879962840203995
BraTS20_Training_119,ET,small,0.01423275237567547,0.007167381974248414
BraTS20_Training_348,ET,large,0.10273925886284278,0.054151364983847275
BraTS20_Training_055,ET,small,0.023463386218860686,0.011870959563949051
BraTS20_Training_225,ET,large,0.38964940206519005,0.24196557107805897
BraTS20_Training_103,ET,large,0.08567835329452075,0.04475650862642232
BraTS20_Training_243,ET,medium,0.04403020790239667,0.02251067888690561
BraTS20_Training_352,ET,medium,0.020771754752283492,0.010494875870005452
BraTS20_Training_094,ET,small,0.003318665815726491,0.0016620908699395952
BraTS20_Training_254,ET,large,0.1651079091893943,0.08998235373964368
BraTS20_Training_138,ET,large,0.19639647350849565,0.10889115630115216
BraTS20_Training_027,ET,medium,0.05969580299622157,0.03076620825147106
BraTS20_Training_357,ET,medium,0.05345234969807881,0.02746007768666132
BraTS20_Training_079,ET,small,0.00460275728466418,0.002306687202995605
BraTS20_Training_302,ET,small,0.007479726603096009,0.003753902383308935
BraTS20_Training_196,ET,large,0.1705322813009674,0.09321415161248976
BraTS20_Training_070,ET,medium,0.03574639479267553,0.01819846210179288
BraTS20_Training_165,ET,large,0.14462561739737134,0.07794956034398706
BraTS20_Training_288,ET,medium,0.04872899454498561,0.024972950660752814
BraTS20_Training_220,ET,medium,0.048302258689246966,0.024748841824660486
BraTS20_Training_081,ET,small,0.02585706625138461,0.013097869363636064
BraTS20_Training_218,ET,large,0.21105381097091422,0.11797661230126737
BraTS20_Training_211,ET,medium,0.053182550462769485,0.027317687375059883
BraTS20_Training_280,ET,small,0.0023880337798231127,0.0011954442705615546
BraTS20_Training_037,ET,medium,0.05649212361614159,0.029067092705202878
BraTS20_Training_234,ET,medium,0.04986618918346042,0.02557065002764142
BraTS20_Training_106,ET,large,0.13820636878220455,0.07423291521939736
BraTS20_Training_368,ET,medium,0.05331489152365566,0.027387527284977703
BraTS20_Training_059,ET,small,0.00441601454687109,0.002212893358065491
BraTS20_Training_177,ET,small,0.002653893070720737,0.0013287096620429161
BraTS20_Training_014,ET,medium,0.05753094042039278,0.02961742949606813
BraTS20_Training_191,ET,large,0.27892817268326914,0.16206654960945896
BraTS20_Training_066,ET,small,0.02830003993641275,0.01435311685835814
BraTS20_Training_256,ET,large,0.2873622964838204,0.1677893087918379
BraTS20_Training_315,ET,small,0.00040129243840504234,0.00020068648618721966
BraTS20_Training_217,ET,small,0.024877930532948372,0.01259564202007079
BraTS20_Training_069,ET,medium,0.0631762683789095,0.032618491475231964
BraTS20_Training_023,ET,medium,0.03199601650305648,0.016258105558405834
BraTS20_Training_084,ET,medium,0.06179121722682934,0.03188057848877305
BraTS20_Training_197,ET,large,0.27612993552900333,0.16018024862781013
BraTS20_Training_232,ET,medium,0.023991338370672823,0.012141312351784254
