comparison,family,region,bin,n,base_mean,other_mean,delta,ci_lo,ci_hi,effect_size,p_raw,q_pooled,q_perrq
RQ8 (negated text),RQ8,WT,small,32,0.05682907016139984,0.04184750647361013,-0.01498156368778971,-0.018866512388304644,-0.011361077556534717,-1.0,4.656612873077393e-10,1.137544001851763e-08,1.6763806343078613e-08
RQ8 (negated text),RQ8,WT,medium,21,0.13671154759037568,0.09237910213306441,-0.04433244545731127,-0.05593397868031831,-0.03311303114889094,-1.0,9.5367431640625e-07,3.261566162109375e-06,2.288818359375e-06
RQ8 (negated text),RQ8,WT,large,20,0.2808702663321127,0.1748946888788273,-0.1059755774532854,-0.12110486276699656,-0.09014870427878569,-1.0,1.9073486328125e-06,5.177089146205357e-06,4.039091222426471e-06
RQ8 (shuffled word order),RQ8,ET,small,21,0.009954052583732463,0.00792545373104789,-0.0020285988526845735,-0.0031083489379547264,-0.0011081123357692111,-1.0,9.5367431640625e-07,3.261566162109375e-06,2.288818359375e-06
RQ8 (shuffled word order),RQ8,ET,medium,23,0.03742924981534332,0.029377456436633146,-0.008051793378710172,-0.013062037757407543,-0.004774440821481984,-0.9927536231884058,4.76837158203125e-07,2.1457672119140625e-06,1.71661376953125e-06
RQ8 (shuffled word order),RQ8,ET,large,23,0.14884564587032542,0.12566888232438947,-0.023176763545935952,-0.03133986639856211,-0.015383324941509152,-0.9927536231884058,4.76837158203125e-07,2.1457672119140625e-06,1.71661376953125e-06
RQ8 (shuffled word order),RQ8,TC,small,27,0.019182928141719627,0.017691967639313782,-0.0014909605024058456,-0.002138277012298489,-0.0009140335455410542,-0.8994708994708994,4.5746564865112305e-06,1.1337192162223484e-05,8.667770184968646e-06
RQ8 (shuffled word order),RQ8,TC,medium,23,0.05895893056056275,0.05398009730208221,-0.0049788332584805375,-0.006805178907639323,-0.0033315922344218383,-0.9920948616600791,4.61253801792603e-05,8.573304359405991e-05,6.918807026889045e-05
RQ8 (shuffled word order),RQ8,TC,large,23,0.1755513767356842,0.16062729644513,-0.014924080290554198,-0.02195194486802311,-0.008591127820028861,-1.0,8.857457687863547e-05,0.00015146252646246666,0.0001226417218319568
RQ8 (shuffled word order),RQ8,WT,small,32,0.05682907016139984,0.05584203357323464,-0.0009870365881652007,-0.0016791423594287732,-0.0002969956035024273,-0.6182336182336182,0.005857017224621497,0.008209425782051442,0.0065891443776991835
RQ8 (shuffled word order),RQ8,WT,medium,21,0.13671154759037568,0.1350260861825584,-0.0016854614078172792,-0.004135234745534792,0.00042317158184831125,-0.2982456140350877,0.2667689558251569,0.28871830029178375,0.27439092599158993
RQ8 (shuffled word order),RQ8,WT,large,20,0.2808702663321127,0.280855095015777,-1.517131633571589e-05,-0.0028823794976910433,0.002945408789685817,-0.058823529411764705,0.836138661741041,0.836138661741041,0.836138661741041
RQ8 (swapped referent),RQ8,ET,small,21,0.009954052583732463,0.007928193858430986,-0.002025858725301477,-0.0029929737612097206,-0.0011695735754000275,-1.0,9.5367431640625e-07,3.261566162109375e-06,2.288818359375e-06
RQ8 (swapped referent),RQ8,ET,medium,23,0.03742924981534332,0.027909139842290268,-0.00952010997305305,-0.014369758114709887,-0.006285691158433702,-1.0,2.384185791015625e-07,1.2740492820739746e-06,1.2261526925223215e-06
RQ8 (swapped referent),RQ8,ET,large,23,0.14884564587032542,0.11397624969325301,-0.03486939617707241,-0.04608187932651374,-0.024720050911138915,-1.0,2.384185791015625e-07,1.2740492820739746e-06,1.2261526925223215e-06
RQ8 (swapped referent),RQ8,TC,small,27,0.019182928141719627,0.017086351405105896,-0.002096576736613731,-0.002949396478787373,-0.0013180366885599693,-1.0,1.4901161193847656e-08,1.9600758185753455e-07,1.7881393432617188e-07
RQ8 (swapped referent),RQ8,TC,medium,23,0.05895893056056275,0.053117092183506964,-0.005841838377055784,-0.007814901667878793,-0.0040577416152639476,-1.0,4.009964816469138e-05,7.535208611167281e-05,6.276466669256042e-05
RQ8 (swapped referent),RQ8,TC,large,23,0.1755513767356842,0.15645354708901135,-0.019097829646672837,-0.02763509650950886,-0.01168208525993921,-1.0,2.384185791015625e-07,1.2740492820739746e-06,1.2261526925223215e-06
RQ8 (swapped referent),RQ8,WT,small,32,0.05682907016139984,0.07000342068661206,0.013174350525212215,0.010359326634833296,0.01609640071724771,0.9886363636363636,2.3283064365386963e-09,4.976755008101463e-08,4.190951585769653e-08
RQ8 (swapped referent),RQ8,WT,medium,21,0.13671154759037568,0.16558421048511218,0.0288726628947365,0.019486911804442057,0.039648412263689065,0.9826839826839827,2.86102294921875e-06,7.644295692443848e-06,5.7220458984375e-06
RQ8 (swapped referent),RQ8,WT,large,20,0.2808702663321127,0.34879531786091345,0.06792505152880074,0.0448083591367857,0.0925357733592082,0.9428571428571428,2.6702880859375e-05,5.130553513430477e-05,4.57763671875e-05
RQ8 (generic filler),RQ8,ET,small,21,0.009954052583732463,0.007193590148655287,-0.0027604624350771765,-0.004044166108694042,-0.0015870135911062971,-1.0,9.5367431640625e-07,3.261566162109375e-06,2.288818359375e-06
RQ8 (generic filler),RQ8,ET,medium,23,0.03742924981534332,0.026727231929844077,-0.010702017885499241,-0.016313501092642804,-0.006985661001578845,-1.0,2.384185791015625e-07,1.2740492820739746e-06,1.2261526925223215e-06
RQ8 (generic filler),RQ8,ET,large,23,0.14884564587032542,0.10958599619573482,-0.0392596496745906,-0.052201022759997384,-0.02762622733397264,-0.9927536231884058,4.76837158203125e-07,2.1457672119140625e-06,1.71661376953125e-06
RQ8 (generic filler),RQ8,TC,small,27,0.019182928141719627,0.017180567777461138,-0.0020023603642584896,-0.00310298852264305,-0.001036741019043285,-0.8148148148148148,6.331503391265869e-05,0.00011396706104278564,9.117364883422851e-05
RQ8 (generic filler),RQ8,TC,medium,23,0.05895893056056275,0.05520397486539072,-0.0037549556951720284,-0.00630202843005197,-0.0015024502383189347,-0.7101449275362319,0.0018849372863769531,0.0027786575514694737,0.002188959429340978
RQ8 (generic filler),RQ8,TC,large,23,0.1755513767356842,0.17055846482848097,-0.004992911907203218,-0.012269238956926986,0.0019264583744921836,-0.28063241106719367,0.24910310970315597,0.27131612585502973,0.2637562338033416
RQ8 (generic filler),RQ8,WT,small,32,0.05682907016139984,0.06378950855211053,0.006960438390710692,0.004621714079591555,0.00939051081031056,0.8863636363636364,9.476207196712494e-07,3.261566162109375e-06,2.288818359375e-06
RQ8 (generic filler),RQ8,WT,medium,21,0.13671154759037568,0.15163831956513027,0.014926771974754588,0.009778199656516913,0.020252256439891193,0.922077922077922,3.147125244140625e-05,5.979537963867187e-05,5.14984130859375e-05
RQ8 (generic filler),RQ8,WT,large,20,0.2808702663321127,0.3156903896824075,0.034820123350294774,0.01962959634276258,0.050652740164277184,0.8761904761904762,0.0001678466796875,0.00027077153043926884,0.0002158028738839286
"RQ12 (8^3 window, pct99)",RQ12,ET,small,21,0.009954052583732463,0.03809597792265823,0.028141925338925768,0.017360049207158043,0.039206358677239934,0.9393939393939394,1.811981201171875e-05,3.873109817504883e-05,2.7179718017578125e-05
"RQ12 (8^3 window, pct99)",RQ12,ET,medium,23,0.03742924981534332,0.15060565173892793,0.11317640192358461,0.09583519330861533,0.13290173730643579,1.0,2.384185791015625e-07,1.2740492820739746e-06,8.58306884765625e-07
"RQ12 (8^3 window, pct99)",RQ12,ET,large,23,0.14884564587032542,0.3810635976791213,0.23221795180879587,0.20389156403405478,0.260382379314461,1.0,2.384185791015625e-07,1.2740492820739746e-06,8.58306884765625e-07
"RQ12 (8^3 window, pct99)",RQ12,TC,small,27,0.019182928141719627,0.06070179067794993,0.0415188625362303,0.02639817542337288,0.05758259485159855,0.8994708994708994,4.5746564865112305e-06,1.1337192162223484e-05,8.234381675720215e-06
"RQ12 (8^3 window, pct99)",RQ12,TC,medium,23,0.05895893056056275,0.18201007469185485,0.12305114413129209,0.07406457451520365,0.17648833948930523,0.8985507246376812,2.6226043701171875e-05,5.130553513430477e-05,3.631298358623798e-05
"RQ12 (8^3 window, pct99)",RQ12,TC,large,23,0.1755513767356842,0.27972289574646625,0.10417151901078206,0.04142752935985764,0.16820644470257298,0.6304347826086957,0.006710529327392578,0.009254036411162346,0.008052635192871093
"RQ12 (8^3 window, pct99)",RQ12,WT,small,32,0.05682907016139984,0.3179754613149387,0.2611463911535389,0.2193532721830234,0.3052725646983609,1.0,4.656612873077393e-10,1.137544001851763e-08,4.190951585769653e-09
"RQ12 (8^3 window, pct99)",RQ12,WT,medium,21,0.13671154759037568,0.4586201830901534,0.3219086354997777,0.2775903295387224,0.36633721143408954,1.0,9.5367431640625e-07,3.261566162109375e-06,2.452305385044643e-06
"RQ12 (8^3 window, pct99)",RQ12,WT,large,20,0.2808702663321127,0.4871634934325,0.20629322710038728,0.16546082678461202,0.2466093027663044,0.9904761904761905,3.814697265625e-06,9.883533824573863e-06,7.62939453125e-06
"RQ12 (8^3 window, oracle)",RQ12,ET,small,21,0.009954052583732463,0.061572412480284854,0.05161835989655239,0.02441523025463925,0.08175949298410934,0.5238095238095238,0.035056114196777344,0.042818539483206616,0.037118238561293655
"RQ12 (8^3 window, oracle)",RQ12,ET,medium,23,0.03742924981534332,0.17507355381135667,0.13764430399601335,0.09662857140794331,0.17526600786027424,0.9420289855072463,5.9604644775390625e-06,1.4190387446433306e-05,9.753487326882103e-06
"RQ12 (8^3 window, oracle)",RQ12,ET,large,23,0.14884564587032542,0.4022310255855628,0.25338537971523734,0.21344404467868505,0.2949131463672741,1.0,2.384185791015625e-07,1.2740492820739746e-06,8.58306884765625e-07
"RQ12 (8^3 window, oracle)",RQ12,TC,small,27,0.019182928141719627,0.008605569310515905,-0.010577358831203722,-0.0199730902446795,0.002576753054995158,-0.7671957671957672,0.00020888447761535645,0.00033382472590865375,0.00026856575693402974
"RQ12 (8^3 window, oracle)",RQ12,TC,medium,23,0.05895893056056275,0.12080631708526034,0.06184738652469759,-0.0090051405133277,0.1474983051672736,0.18115942028985507,0.4633810520172119,0.47910758077002624,0.4633810520172119
"RQ12 (8^3 window, oracle)",RQ12,TC,large,23,0.1755513767356842,0.27303803962163053,0.09748666288594635,0.02947794417597479,0.16803990413524772,0.5362318840579711,0.02332472801208496,0.029327415368136236,0.02624031901359558
"RQ12 (8^3 window, oracle)",RQ12,WT,small,32,0.05682907016139984,0.31555001084374734,0.2587209406823475,0.21127334054107677,0.30714512221170764,1.0,4.656612873077393e-10,1.137544001851763e-08,4.190951585769653e-09
"RQ12 (8^3 window, oracle)",RQ12,WT,medium,21,0.13671154759037568,0.4679682804752887,0.33125673288491303,0.2847647425141361,0.3775378233448374,1.0,9.5367431640625e-07,3.261566162109375e-06,2.452305385044643e-06
"RQ12 (8^3 window, oracle)",RQ12,WT,large,20,0.2808702663321127,0.6353158178875847,0.354445551555472,0.3233415327579649,0.3869097840585011,1.0,1.9073486328125e-06,5.177089146205357e-06,4.291534423828125e-06
