comparison,family,region,bin,n,base_mean,other_mean,delta,ci_lo,ci_hi,effect_size,p_raw,q_pooled,q_perrq
RQ3c (8^3 window),RQ3,ET,large,23,0.14884564587032542,0.17733697487401787,0.028491329003692445,0.018166422913980365,0.0383728045309542,0.8768115942028986,4.935264587402344e-05,9.074518757481729e-05,0.00010094859383322975
RQ3c (8^3 window),RQ3,TC,small,27,0.019182928141719627,0.028633164618856673,0.009450236477137046,0.006900917942832803,0.012044499724878838,1.0,1.4901161193847656e-08,1.9600758185753455e-07,1.1175870895385742e-07
RQ3c (8^3 window),RQ3,TC,medium,23,0.05895893056056275,0.09127124862844459,0.03231231806788184,0.026074710016021373,0.03884597137660536,1.0,2.384185791015625e-07,1.2740492820739746e-06,1.341104507446289e-06
RQ3c (8^3 window),RQ3,TC,large,23,0.1755513767356842,0.24162843865507524,0.06607706191939106,0.05063605939410913,0.08236468252002371,0.9927536231884058,4.76837158203125e-07,2.1457672119140625e-06,2.1457672119140625e-06
RQ3c (8^3 window),RQ3,WT,small,32,0.05682907016139984,0.09477541078118122,0.03794634061978138,0.031301540525645315,0.0451725433572138,1.0,4.656612873077393e-10,1.137544001851763e-08,5.238689482212067e-09
RQ3c (8^3 window),RQ3,WT,medium,21,0.13671154759037568,0.21476412308661907,0.07805257549624339,0.0671952134540393,0.0897060360757504,1.0,9.5367431640625e-07,3.261566162109375e-06,3.5762786865234375e-06
RQ3c (8^3 window),RQ3,WT,large,20,0.2808702663321127,0.4261780591587313,0.1453077928266186,0.12140821597081684,0.168669637874813,1.0,1.9073486328125e-06,5.177089146205357e-06,6.130763462611607e-06
RQ3c (6^3 window),RQ3,ET,small,21,0.009954052583732463,0.013164796174707494,0.0032107435909750313,0.0018773992229180606,0.004589742278752589,0.8701298701298701,0.00013065338134765625,0.00021482430971585787,0.0002177556355794271
RQ3c (6^3 window),RQ3,ET,medium,23,0.03742924981534332,0.04768855349316167,0.010259303677818354,0.0042734583736647146,0.015212743314441427,0.8333333333333334,0.000152587890625,0.00024850027901785713,0.0002452305385044643
RQ3c (6^3 window),RQ3,ET,large,23,0.14884564587032542,0.17716197221176608,0.028316326341440656,0.017694250347011914,0.038471379894669436,0.855072463768116,8.845329284667969e-05,0.00015146252646246666,0.00016584992408752441
RQ3c (6^3 window),RQ3,TC,small,27,0.019182928141719627,0.028439718431327532,0.009256790289607904,0.006906596698147782,0.011633455663599945,1.0,1.4901161193847656e-08,1.9600758185753455e-07,1.1175870895385742e-07
RQ3c (6^3 window),RQ3,TC,medium,23,0.05895893056056275,0.0909127533876231,0.03195382282706035,0.02554990135202133,0.038656086186055844,1.0,2.384185791015625e-07,1.2740492820739746e-06,1.341104507446289e-06
RQ3c (6^3 window),RQ3,TC,large,23,0.1755513767356842,0.24499987088978364,0.06944849415409945,0.054105823455206745,0.08634680797838405,0.9927536231884058,4.76837158203125e-07,2.1457672119140625e-06,2.1457672119140625e-06
RQ3c (6^3 window),RQ3,WT,small,32,0.05682907016139984,0.0974072206531975,0.04057815049179766,0.03396114009452725,0.04773522782093113,1.0,4.656612873077393e-10,1.137544001851763e-08,5.238689482212067e-09
RQ3c (6^3 window),RQ3,WT,medium,21,0.13671154759037568,0.21949952703163012,0.08278797944125443,0.07183839801540336,0.09492612821499755,1.0,9.5367431640625e-07,3.261566162109375e-06,3.5762786865234375e-06
